image_id,highway
173529288004582,primary
187098909929555,footway
216283226982432,footway
269290068323331,footway
305399287917735,footway
308707770748550,footway
310698823750341,primary
315970676772352,footway
334213504878448,primary
387616345626796,footway
432081875138552,footway
486527229463839,primary
497792407930066,primary
507005454009469,footway
518223702859508,primary
532051091386866,primary
568493717757567,primary
677806630089122,footway
742794133052728,primary
796584247628919,footway
811604529752448,primary
821061125222211,primary
824423578448957,footway
827676088105008,footway
877953149735095,primary
927816371125415,primary
952367918873603,primary
1998769373606723,primary
2096254440714769,footway
2947015848899610,primary
